Average Degree,Average shortest path,Clustering coefficient,Katz Centrality,Between Centrality,Degree Centrality,Closeness Centrality,condition,Y
35.04453196,1.564484127,0.566468254,0.798980638,0.02032412,0.009104583,0.657907018,1,0
35.72688733,1.564980159,0.554563492,0.798817296,0.00791219,0.009112583,0.657990795,2,0
38.43412411,1.555555556,0.652281746,0.897681866,0.02196825,0.008960573,0.672994093,3,0
39.19904458,1.465949821,0.607782898,0.824686588,0.007348494,0.007638522,0.706549475,1,0
37.67323879,1.505376344,0.57296467,0.79621493,0.008780873,0.008284858,0.687496201,2,0
37.8845147,1.475166411,0.584229391,0.811797748,0.004019683,0.007789613,0.697126133,3,0
33.53711762,1.615575397,0.532242063,0.779476435,0.003381964,0.009928635,0.642996921,1,0
33.9598112,1.575396825,0.523809524,0.797169297,0.002279424,0.009280594,0.653052148,2,0
34.7301961,1.642857143,0.528769841,0.761088262,0.02816696,0.010368664,0.63635938,3,0
36.65206083,1.496159754,0.567332309,0.788343663,0.017305023,0.008133766,0.68400234,1,0
34.57621591,1.572916667,0.541666667,0.786381944,0.004462562,0.009240591,0.656987236,2,0
34.20505907,1.576388889,0.526289683,0.766710362,0.013361924,0.009296595,0.654382885,3,0
39.68942634,1.441964286,0.630456349,0.834814396,0.003936855,0.007128456,0.707300548,1,0
38.70762596,1.474702381,0.618551587,0.824762857,0.00084939,0.00765649,0.696783983,2,0
40.67611237,1.441964286,0.629960317,0.839712874,0.012941952,0.007128456,0.707657292,3,0
37.98630391,1.452636969,0.597542243,0.778615752,0.008450985,0.007420278,0.702711684,1,0
35.87279818,1.489583333,0.553571429,0.762047858,0.006769459,0.007896505,0.678576715,2,0
35.27821159,1.515376984,0.552083333,0.7820324,0.012561781,0.008312532,0.669917447,3,0
34.89486144,1.55406746,0.532738095,0.786608842,0.018129986,0.008936572,0.659828972,1,0
34.72008874,1.552579365,0.524801587,0.799997103,0.012952938,0.00891257,0.660743966,2,0
34.67246032,1.545634921,0.535218254,0.787095139,0.010141209,0.008800563,0.662437924,3,0
35.93353273,1.529265873,0.523313492,0.781116553,0.004426592,0.008536546,0.667376325,1,0
36.66357183,1.504352279,0.558627752,0.801355748,0.001759,0.00826807,0.681126277,2,0
37.08338441,1.540178571,0.538690476,0.818689105,0.000510676,0.008712558,0.667872918,3,0
34.21106165,1.529265873,0.527777778,0.761399432,0.000288261,0.008536546,0.665602756,1,0
36.60158738,1.515376984,0.558531746,0.805537251,0.0111028,0.008312532,0.677534415,2,0
